,index,week_web,week_email,week_tv,weekend_internet,weekend_internet_minutes,weekday_internet,weekday_internet_minutes,Gss year for this respondent                       ,General happiness,internet_per_week,screen_time_per_week
59604,59604,2,2,1,0,30,1,0,2016.0,Very happy,5,14
59609,59609,7,2,1,4,0,7,0,2016.0,0,43,52
59611,59611,50,10,7,12,0,12,0,2016.0,Very happy,84,143
59617,59617,15,1,1,2,0,3,0,2016.0,Pretty happy,19,27
59621,59621,1,1,3,3,0,3,0,2016.0,Very happy,21,43
59626,59626,21,0,0,3,0,3,0,2016.0,Not too happy,21,21
59627,59627,0,0,3,1,0,1,0,2016.0,Pretty happy,7,28
59629,59629,25,1,2,3,0,1,0,2016.0,Not too happy,11,26
59634,59634,10,0,0,2,0,2,0,2016.0,Not too happy,14,14
59635,59635,5,5,2,2,0,2,0,2016.0,Not too happy,14,33
59641,59641,14,7,1,0,30,1,0,2016.0,Pretty happy,5,19
59645,59645,40,60,2,4,0,5,0,2016.0,Pretty happy,33,107
59648,59648,10,20,1,7,0,7,0,2016.0,Very happy,49,76
59649,59649,15,45,1,10,0,3,0,2016.0,Very happy,35,87
59651,59651,14,1,2,4,0,4,0,2016.0,Very happy,28,43
59654,59654,10,7,2,2,0,2,0,2016.0,Pretty happy,14,35
59655,59655,2,2,0,1,30,1,0,2016.0,Pretty happy,7,9
59656,59656,21,25,2,2,0,2,0,2016.0,Pretty happy,14,53
59660,59660,72,0,7,4,0,6,0,2016.0,Not too happy,38,87
59662,59662,8,1,3,4,0,2,0,2016.0,Not too happy,18,40
59665,59665,10,60,4,15,0,24,0,2016.0,Pretty happy,150,238
59685,59685,10,60,3,3,0,1,30,2016.0,Pretty happy,11,92
59689,59689,5,5,8,4,0,1,0,2016.0,Pretty happy,13,74
59694,59694,15,15,2,2,0,2,0,2016.0,Pretty happy,14,43
59696,59696,30,10,0,10,0,4,0,2016.0,Very happy,40,50
59713,59713,5,4,2,1,30,1,0,2016.0,Very happy,7,25
59716,59716,3,0,1,0,25,0,25,2016.0,Very happy,0,7
59718,59718,2,7,4,2,0,2,0,2016.0,Pretty happy,14,49
59723,59723,2,1,1,1,0,1,0,2016.0,Pretty happy,7,15
59727,59727,25,20,4,5,0,3,0,2016.0,Pretty happy,25,73
59743,59743,3,0,4,3,0,3,0,2016.0,Pretty happy,21,49
59744,59744,1,30,1,0,30,1,0,2016.0,Very happy,5,42
59747,59747,4,50,2,0,15,0,15,2016.0,Pretty happy,0,64
