,index,Rs income in constant $,Rs job is secure,Respondents income,Number of hours usually work a week,General happiness,income
3117,3117,4935,,$1000 to 2999,,Very happy,4935.0
3118,3118,43178,,$15000 - 19999,,Very happy,43178.0
3121,3121,18505,,$7000 to 7999,,Pretty happy,18505.0
3122,3122,22206,,$8000 to 9999,,Pretty happy,22206.0
3123,3123,55515,,$20000 - 24999,,Very happy,55515.0
3126,3126,4935,,$1000 to 2999,,Very happy,4935.0
3131,3131,4935,,$1000 to 2999,,Very happy,4935.0
3132,3132,18505,,$7000 to 7999,,Very happy,18505.0
3137,3137,11103,,$4000 to 4999,,Not too happy,11103.0
3142,3142,30841,,$10000 - 14999,,Very happy,30841.0
3143,3143,30841,,$10000 - 14999,,Very happy,30841.0
3146,3146,11103,,$4000 to 4999,,Pretty happy,11103.0
3147,3147,96450,,$25000 or more,,Pretty happy,96450.0
3149,3149,8636,,$3000 to 3999,,Very happy,8636.0
3150,3150,1234,,Lt $1000,,Pretty happy,1234.0
3152,3152,13570,,$5000 to 5999,,Very happy,13570.0
3153,3153,43178,,$15000 - 19999,,Very happy,43178.0
3156,3156,30841,,$10000 - 14999,,Pretty happy,30841.0
3157,3157,30841,,$10000 - 14999,,Very happy,30841.0
3158,3158,22206,,$8000 to 9999,,Pretty happy,22206.0
3161,3161,16038,,$6000 to 6999,,Very happy,16038.0
3162,3162,30841,,$10000 - 14999,,Pretty happy,30841.0
3166,3166,13570,,$5000 to 5999,,Very happy,13570.0
3171,3171,30841,,$10000 - 14999,,Pretty happy,30841.0
3172,3172,11103,,$4000 to 4999,,Pretty happy,11103.0
3174,3174,1234,,Lt $1000,,Not too happy,1234.0
3176,3176,30841,,$10000 - 14999,,Pretty happy,30841.0
3178,3178,13570,,$5000 to 5999,,Pretty happy,13570.0
3180,3180,13570,,$5000 to 5999,,Very happy,13570.0
3181,3181,13570,,$5000 to 5999,,Very happy,13570.0
3184,3184,55515,,$20000 - 24999,,Pretty happy,55515.0
3186,3186,30841,,$10000 - 14999,,Very happy,30841.0
3191,3191,4935,,$1000 to 2999,,Pretty happy,4935.0
3193,3193,18505,,$7000 to 7999,,Pretty happy,18505.0
3194,3194,16038,,$6000 to 6999,,Pretty happy,16038.0
3197,3197,96450,,$25000 or more,,Very happy,96450.0
3198,3198,55515,,$20000 - 24999,,Pretty happy,55515.0
3200,3200,1234,,Lt $1000,,Very happy,1234.0
3201,3201,13570,,$5000 to 5999,,Pretty happy,13570.0
3202,3202,30841,,$10000 - 14999,,Pretty happy,30841.0
3203,3203,11103,,$4000 to 4999,,Pretty happy,11103.0
3206,3206,4935,,$1000 to 2999,,Very happy,4935.0
3207,3207,18505,,$7000 to 7999,,Pretty happy,18505.0
3211,3211,1234,,Lt $1000,,Very happy,1234.0
3212,3212,1234,,Lt $1000,,Pretty happy,1234.0
3216,3216,8636,,$3000 to 3999,,Pretty happy,8636.0
3217,3217,13570,,$5000 to 5999,,Very happy,13570.0
3218,3218,13570,,$5000 to 5999,,Pretty happy,13570.0
3219,3219,96450,,$25000 or more,,Very happy,96450.0
3220,3220,13570,,$5000 to 5999,,Pretty happy,13570.0
3221,3221,13570,,$5000 to 5999,,Not too happy,13570.0
3226,3226,22206,,$8000 to 9999,,Very happy,22206.0
3227,3227,30841,,$10000 - 14999,,Pretty happy,30841.0
3228,3228,30841,,$10000 - 14999,,Very happy,30841.0
3229,3229,43178,,$15000 - 19999,,Pretty happy,43178.0
3231,3231,1234,,Lt $1000,,Pretty happy,1234.0
3232,3232,22206,,$8000 to 9999,,Pretty happy,22206.0
3233,3233,96450,,$25000 or more,,Very happy,96450.0
3235,3235,22206,,$8000 to 9999,,Very happy,22206.0
3237,3237,43178,,$15000 - 19999,,Not too happy,43178.0
3238,3238,30841,,$10000 - 14999,,Very happy,30841.0
3240,3240,8636,,$3000 to 3999,,Pretty happy,8636.0
3241,3241,8636,,$3000 to 3999,,Pretty happy,8636.0
3242,3242,16038,,$6000 to 6999,,Pretty happy,16038.0
