,index,Spend evening with siblings,Spend evening with relatives,Spend evening with neighbor,Spend evening with parents,Spend evening with friends,Spend evening at bar,General happiness,siblings,relatives,neighbor,parents,friends,social_score
9120,9120,Sev times a year,Sev times a year,Never,Never,Sev times a year,Never,Pretty happy,4,4,1,1,4,14
9121,9121,Sev times a year,Sev times a week,Sev times a week,No such people,Sev times a year,Never,Pretty happy,4,6,6,0,4,20
9122,9122,Never,Once a month,Once a month,Sev times a mnth,Once a month,Sev times a mnth,Very happy,1,3,3,5,3,15
9123,9123,Sev times a year,Sev times a week,Once a month,No such people,Sev times a year,Sev times a year,Very happy,4,6,3,0,4,17
9124,9124,Sev times a mnth,Once a month,Sev times a mnth,Sev times a mnth,Sev times a year,Once a month,Pretty happy,5,3,5,5,4,22
9125,9125,Never,Once a month,Once a year,No such people,Sev times a week,Sev times a mnth,Very happy,1,3,2,0,6,12
9126,9126,Sev times a mnth,Sev times a mnth,Sev times a week,No such people,Sev times a week,Sev times a mnth,Pretty happy,5,5,6,0,6,22
9127,9127,Once a year,Sev times a mnth,Sev times a week,No such people,Sev times a week,Never,Very happy,2,5,6,0,6,19
9128,9128,Sev times a year,Sev times a year,Sev times a mnth,Sev times a year,Sev times a mnth,Never,Pretty happy,4,4,5,4,5,22
9129,9129,Once a month,Once a month,Almost daily,Sev times a mnth,Almost daily,Sev times a mnth,Pretty happy,3,3,7,5,7,25
9130,9130,Sev times a year,Once a month,Sev times a year,No such people,Once a year,Never,Pretty happy,4,3,4,0,2,13
9131,9131,Sev times a week,Sev times a mnth,Once a year,No such people,Sev times a year,Never,Very happy,6,5,2,0,4,17
9132,9132,No such people,Sev times a year,Once a month,Sev times a year,Sev times a year,Once a month,Not too happy,0,4,3,4,4,15
9133,9133,Once a year,Once a year,Once a month,No such people,Sev times a mnth,Once a year,Pretty happy,2,2,3,0,5,12
9134,9134,No such people,Once a month,Never,Sev times a week,Never,Once a month,Not too happy,0,3,1,6,1,11
9135,9135,Sev times a mnth,Sev times a week,Sev times a week,Never,Sev times a mnth,Once a month,Not too happy,5,6,6,1,5,23
9136,9136,Sev times a year,Sev times a year,Sev times a week,No such people,Once a year,Sev times a year,Pretty happy,4,4,6,0,2,16
9137,9137,Once a month,Sev times a week,Once a year,Sev times a mnth,Sev times a mnth,Never,Pretty happy,3,6,2,5,5,21
9138,9138,No such people,Sev times a week,Sev times a mnth,Sev times a week,Sev times a mnth,Almost daily,Pretty happy,0,6,5,6,5,22
9139,9139,Once a year,Sev times a mnth,Once a year,Sev times a year,Once a month,Sev times a week,Very happy,2,5,2,4,3,16
9140,9140,Sev times a year,Once a year,Never,No such people,Never,Never,Pretty happy,4,2,1,0,1,8
9141,9141,Once a year,Sev times a year,Sev times a year,Never,Sev times a mnth,Once a month,Very happy,2,4,4,1,5,16
9142,9142,Sev times a year,Once a month,Once a month,No such people,Sev times a week,Never,Very happy,4,3,3,0,6,16
9143,9143,Once a year,Sev times a mnth,Sev times a year,No such people,Sev times a year,Never,Pretty happy,2,5,4,0,4,15
9144,9144,Once a month,Sev times a mnth,Never,Once a month,Sev times a week,Sev times a mnth,Very happy,3,5,1,3,6,18
9145,9145,No such people,Sev times a year,Sev times a year,No such people,Sev times a week,Never,Not too happy,0,4,4,0,6,14
9146,9146,Sev times a year,Sev times a year,Sev times a year,Sev times a year,Sev times a year,Never,Pretty happy,4,4,4,4,4,20
9147,9147,Once a year,Once a year,Never,No such people,Sev times a week,Never,Very happy,2,2,1,0,6,11
9148,9148,Once a month,Sev times a mnth,Never,Never,Almost daily,Almost daily,Pretty happy,3,5,1,1,7,17
9149,9149,Sev times a week,Almost daily,Sev times a year,Almost daily,Sev times a year,Almost daily,Pretty happy,6,7,4,7,4,28
9150,9150,Almost daily,Almost daily,Almost daily,Almost daily,Almost daily,Sev times a week,Very happy,7,7,7,7,7,35
9151,9151,Sev times a year,Sev times a mnth,Never,No such people,Sev times a year,Never,Pretty happy,4,5,1,0,4,14
9152,9152,Almost daily,Almost daily,Sev times a week,No such people,Sev times a year,Never,Pretty happy,7,7,6,0,4,24
9153,9153,Sev times a mnth,Sev times a week,Never,No such people,Almost daily,Sev times a week,Pretty happy,5,6,1,0,7,19
9154,9154,No such people,Almost daily,Once a year,No such people,Sev times a mnth,Never,Pretty happy,0,7,2,0,5,14
9155,9155,No such people,Sev times a year,Never,No such people,Sev times a week,Never,Pretty happy,0,4,1,0,6,11
9156,9156,Sev times a year,Almost daily,Almost daily,Sev times a week,Sev times a mnth,Sev times a mnth,Pretty happy,4,7,7,6,5,29
9157,9157,Once a year,Sev times a year,Sev times a year,Never,Sev times a week,Sev times a week,Not too happy,2,4,4,1,6,17
9158,9158,No such people,Sev times a year,Once a year,No such people,Sev times a week,Sev times a week,Pretty happy,0,4,2,0,6,12
9159,9159,No such people,Sev times a mnth,Once a year,Sev times a mnth,Sev times a year,Never,Pretty happy,0,5,2,5,4,16
9160,9160,Sev times a year,Sev times a year,Once a month,Sev times a year,Once a month,Sev times a year,Pretty happy,4,4,3,4,3,18
9161,9161,No such people,Sev times a year,Sev times a year,No such people,Sev times a year,Sev times a year,Pretty happy,0,4,4,0,4,12
9162,9162,No such people,Sev times a mnth,Sev times a mnth,Sev times a week,Once a month,Sev times a mnth,Pretty happy,0,5,5,6,3,19
9163,9163,Sev times a week,Sev times a week,Never,Sev times a week,Sev times a mnth,Once a year,Pretty happy,6,6,1,6,5,24
9164,9164,Sev times a mnth,Sev times a week,Sev times a week,Sev times a mnth,Sev times a mnth,Sev times a year,Pretty happy,5,6,6,5,5,27
9165,9165,Sev times a year,Once a month,Never,Once a year,Once a month,Once a month,Pretty happy,4,3,1,2,3,13
